time_period,time_identifier,time_frame,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,reference_date,education_phase,school_submitted_count,school_all_count
2025,Week 37,Monday,National,E92000001,England,,,,,,2025-09-08,All schools,21174,21316
2025,Week 37,Tuesday,National,E92000001,England,,,,,,2025-09-09,All schools,21203,21316
2025,Week 37,Wednesday,National,E92000001,England,,,,,,2025-09-10,All schools,21206,21316
2025,Week 37,Thursday,National,E92000001,England,,,,,,2025-09-11,All schools,21207,21316
2025,Week 37,Friday,National,E92000001,England,,,,,,2025-09-12,All schools,21195,21316
2025,Week 37,Week,National,E92000001,England,,,,,,2025-09-08,All schools,21197,21316
2025,Week 37,Monday,National,E92000001,England,,,,,,2025-09-08,Primary,16656,16699
2025,Week 37,Tuesday,National,E92000001,England,,,,,,2025-09-09,Primary,16677,16699
2025,Week 37,Wednesday,National,E92000001,England,,,,,,2025-09-10,Primary,16676,16699
2025,Week 37,Thursday,National,E92000001,England,,,,,,2025-09-11,Primary,16678,16699
2025,Week 37,Friday,National,E92000001,England,,,,,,2025-09-12,Primary,16670,16699
2025,Week 37,Week,National,E92000001,England,,,,,,2025-09-08,Primary,16671.4,16699
2025,Week 37,Monday,National,E92000001,England,,,,,,2025-09-08,Secondary,3419,3496
2025,Week 37,Tuesday,National,E92000001,England,,,,,,2025-09-09,Secondary,3424,3496
2025,Week 37,Wednesday,National,E92000001,England,,,,,,2025-09-10,Secondary,3424,3496
2025,Week 37,Thursday,National,E92000001,England,,,,,,2025-09-11,Secondary,3423,3496
2025,Week 37,Friday,National,E92000001,England,,,,,,2025-09-12,Secondary,3421,3496
2025,Week 37,Week,National,E92000001,England,,,,,,2025-09-08,Secondary,3422.2,3496
2025,Week 37,Monday,National,E92000001,England,,,,,,2025-09-08,Special,1099,1121
2025,Week 37,Tuesday,National,E92000001,England,,,,,,2025-09-09,Special,1102,1121
2025,Week 37,Wednesday,National,E92000001,England,,,,,,2025-09-10,Special,1106,1121
2025,Week 37,Thursday,National,E92000001,England,,,,,,2025-09-11,Special,1106,1121
2025,Week 37,Friday,National,E92000001,England,,,,,,2025-09-12,Special,1104,1121
2025,Week 37,Week,National,E92000001,England,,,,,,2025-09-08,Special,1103.4,1121
2025,Week 37,Monday,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,All schools,1096,1096
2025,Week 37,Tuesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-09,All schools,1097,1096
2025,Week 37,Wednesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-10,All schools,1097,1096
2025,Week 37,Thursday,Regional,E92000001,England,E12000001,North East,,,,2025-09-11,All schools,1097,1096
2025,Week 37,Friday,Regional,E92000001,England,E12000001,North East,,,,2025-09-12,All schools,1097,1096
2025,Week 37,Week,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,All schools,1096.8,1096
2025,Week 37,Monday,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,Primary,857,857
2025,Week 37,Tuesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-09,Primary,858,857
2025,Week 37,Wednesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-10,Primary,858,857
2025,Week 37,Thursday,Regional,E92000001,England,E12000001,North East,,,,2025-09-11,Primary,858,857
2025,Week 37,Friday,Regional,E92000001,England,E12000001,North East,,,,2025-09-12,Primary,858,857
2025,Week 37,Week,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,Primary,857.8,857
2025,Week 37,Monday,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,Secondary,173,173
2025,Week 37,Tuesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-09,Secondary,173,173
2025,Week 37,Wednesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-10,Secondary,173,173
2025,Week 37,Thursday,Regional,E92000001,England,E12000001,North East,,,,2025-09-11,Secondary,173,173
2025,Week 37,Friday,Regional,E92000001,England,E12000001,North East,,,,2025-09-12,Secondary,173,173
2025,Week 37,Week,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,Secondary,173,173
2025,Week 37,Monday,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,Special,66,66
2025,Week 37,Tuesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-09,Special,66,66
2025,Week 37,Wednesday,Regional,E92000001,England,E12000001,North East,,,,2025-09-10,Special,66,66
2025,Week 37,Thursday,Regional,E92000001,England,E12000001,North East,,,,2025-09-11,Special,66,66
2025,Week 37,Friday,Regional,E92000001,England,E12000001,North East,,,,2025-09-12,Special,66,66
2025,Week 37,Week,Regional,E92000001,England,E12000001,North East,,,,2025-09-08,Special,66,66
2025,Week 37,Monday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,All schools,38,38
2025,Week 37,Tuesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-09,All schools,38,38
2025,Week 37,Wednesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-10,All schools,38,38
2025,Week 37,Thursday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-11,All schools,38,38
2025,Week 37,Friday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-12,All schools,38,38
2025,Week 37,Week,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,All schools,38,38
2025,Week 37,Monday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,Primary,30,30
2025,Week 37,Tuesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-09,Primary,30,30
2025,Week 37,Wednesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-10,Primary,30,30
2025,Week 37,Thursday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-11,Primary,30,30
2025,Week 37,Friday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-12,Primary,30,30
2025,Week 37,Week,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,Primary,30,30
2025,Week 37,Monday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,Secondary,5,5
2025,Week 37,Tuesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-09,Secondary,5,5
2025,Week 37,Wednesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-10,Secondary,5,5
2025,Week 37,Thursday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-11,Secondary,5,5
2025,Week 37,Friday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-12,Secondary,5,5
2025,Week 37,Week,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,Secondary,5,5
2025,Week 37,Monday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,Special,3,3
2025,Week 37,Tuesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-09,Special,3,3
2025,Week 37,Wednesday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-10,Special,3,3
2025,Week 37,Thursday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-11,Special,3,3
2025,Week 37,Friday,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-12,Special,3,3
2025,Week 37,Week,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,2025-09-08,Special,3,3
2025,Week 37,Monday,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,2025-09-08,All schools,54,54
2025,Week 37,Tuesday,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,2025-09-09,All schools,54,54
